trial_id,val_loss,cnn_filters,cnn_kernel_sizes,lstm_units,dropout,learning_rate,batch_size,num_epochs
1,4.842037677764893,"[64, 128]","[5, 5]",50,0.11514769349431125,0.005542336717384551,64,15
2,5.0496296882629395,"[64, 128]","[3, 3]",50,0.2668568956140872,0.002017927318147185,16,20
3,4.975643157958984,"[64, 128]","[3, 5]",100,0.3580338251487074,0.009585668387771808,32,15
4,5.040470123291016,"[16, 32]","[3, 3]",32,0.27439347599258446,0.009328143869670088,16,15
5,4.708601951599121,"[32, 64]","[3, 5]",50,0.1857836047724653,0.0026416569874786293,64,15
6,5.118228435516357,"[16, 32]","[5, 5]",100,0.3974991791576695,0.00017855809408572193,64,10
7,5.025266647338867,"[64, 128]","[3, 3]",32,0.3164104276615872,0.0011682156936945226,32,10
8,5.054767608642578,"[32, 64]","[3, 5]",50,0.13587336761974034,0.0013827093368482637,64,15
9,5.018712043762207,"[32, 64]","[5, 5]",100,0.18617575500362232,0.0002653401732169504,16,15
10,5.142336845397949,"[32, 64]","[3, 5]",50,0.23487058577793518,0.002303269433172712,32,20
11,4.940510272979736,"[64, 128]","[3, 3]",50,0.1684118163736128,0.005133747821901598,64,20
12,5.059847831726074,"[32, 64]","[3, 3]",64,0.24563525072337386,0.0054986739787371685,64,15
